time,open,high,low,close
1701347700.0,1.09136,1.09141,1.09114,1.09137
1701348000.0,1.09136,1.0918,1.09129,1.0917
1701348300.0,1.0917,1.09187,1.09167,1.09173
1701348600.0,1.09175,1.09189,1.09154,1.09159
1701348900.0,1.09158,1.09163,1.09136,1.09153
1701349200.0,1.09153,1.0919,1.09152,1.09189
1701349500.0,1.09189,1.09204,1.09152,1.09163
1701349800.0,1.09163,1.09168,1.09105,1.09133
1701350100.0,1.09134,1.09162,1.09132,1.09138
1701350400.0,1.09138,1.09204,1.09121,1.092
1701350700.0,1.092,1.09209,1.09183,1.09187
1701351000.0,1.09195,1.09213,1.09193,1.09208
1701351300.0,1.09207,1.09269,1.09206,1.09264
1701351600.0,1.09264,1.09298,1.09251,1.09298
1701351900.0,1.09299,1.09313,1.09253,1.09272
1701352200.0,1.0927,1.09294,1.09257,1.09269
1701352500.0,1.09266,1.09293,1.09249,1.0925
1701352800.0,1.09253,1.09298,1.09244,1.09281
1701353100.0,1.09281,1.09307,1.09278,1.09307
1701353400.0,1.09307,1.0936,1.09307,1.09355
1701353700.0,1.09359,1.09365,1.09323,1.09345
1701354000.0,1.09345,1.09383,1.09344,1.0937
1701354300.0,1.0937,1.09399,1.0937,1.09399
1701354600.0,1.09411,1.09489,1.09279,1.09299
1701354900.0,1.09304,1.09354,1.09256,1.09347
1701355200.0,1.09348,1.09351,1.09264,1.09266
1701355500.0,1.09267,1.09318,1.09202,1.09205
1701355800.0,1.09207,1.09237,1.09169,1.09172
1701356100.0,1.09173,1.09217,1.09136,1.09152
1701356400.0,1.09158,1.09164,1.09071,1.09156
1701356700.0,1.09154,1.09178,1.09133,1.09153
1701357000.0,1.09153,1.09218,1.09144,1.09208
1701357300.0,1.09208,1.09221,1.09117,1.09143
1701357600.0,1.09143,1.09214,1.09143,1.09182
1701357900.0,1.09181,1.09188,1.09135,1.09157
1701358200.0,1.0916,1.09166,1.09072,1.09092
1701358500.0,1.09087,1.09098,1.09015,1.09026
1701358800.0,1.09027,1.09052,1.08954,1.09033
1701359100.0,1.09033,1.09038,1.08917,1.08966
1701359400.0,1.08967,1.09066,1.08967,1.09059
1701359700.0,1.09059,1.09094,1.09049,1.0908
1701360000.0,1.0908,1.09176,1.09054,1.09167
1701360300.0,1.09167,1.09176,1.091,1.09102
1701360600.0,1.091,1.09168,1.09097,1.09141
1701360900.0,1.09138,1.09171,1.09121,1.09122
1701361200.0,1.09122,1.09162,1.0908,1.09095
1701361500.0,1.09095,1.09106,1.09003,1.09031
1701361800.0,1.0903,1.09111,1.0903,1.09096
1701362100.0,1.09097,1.09142,1.08992,1.09021
1701362400.0,1.09023,1.09122,1.09011,1.09117
1701362700.0,1.09118,1.09118,1.08992,1.08992
1701363000.0,1.08991,1.09044,1.08936,1.09042
1701363300.0,1.09044,1.09117,1.09022,1.09102
1701363600.0,1.09106,1.09157,1.09073,1.09128
1701363900.0,1.09127,1.09149,1.09071,1.09107
